ticket_text,category
"Lan kabeli qırılıb, şəbəkə işləmir",Şəbəkə
"Klaviatura və siçan (mouse) işləmir, USB portlar xarabdır",Avadanlıq
"Kompüterdə RAM problemi var, sistem çox donur",Avadanlıq
"Korporativ @asoiu.edu.az mailimə giriş edə bilmirəm, şifrə xətasıdır",Hesab_Problemi
Sistemə daxil olmaq üçün təsdiq kodu telefonuma gəlmir,Hesab_Problemi
VPN serverə qoşula bilmirəm,Şəbəkə
"Python quraşdırarkən PATH problemi yaranır, terminal tanımır",Proqram_Təminatı
Moodle (LMS) sistemində parolumu unutmuşam,Hesab_Problemi
"Server otağında switch yanıb, internet yoxdur",Şəbəkə
"Printer kağızı sıxışdırıb, çap etmir",Avadanlıq
Antivirus proqramı xəta verir və yenilənmir,Proqram_Təminatı
"Şəbəkəyə qoşulmaq mümkün deyil, IP xətası verir",Şəbəkə
"Hesabımın bloku açılmalıdır, çoxlu yanlış cəhd etmişəm",Hesab_Problemi
"Printer kağızı sıxışdırıb, çap etmir",Avadanlıq
"Laboratoriyada proyektor işləmir, HDMI siqnalı yoxdur",Avadanlıq
Moodle (LMS) sistemində parolumu unutmuşam,Hesab_Problemi
Moodle (LMS) sistemində parolumu unutmuşam,Hesab_Problemi
Əməliyyat sistemi (Windows) update olunarkən donub qaldı,Proqram_Təminatı
"Korporativ @asoiu.edu.az mailimə giriş edə bilmirəm, şifrə xətasıdır",Hesab_Problemi
Sistemə daxil olmaq üçün təsdiq kodu telefonuma gəlmir,Hesab_Problemi
VPN serverə qoşula bilmirəm,Şəbəkə
Prosessor həddindən artıq qızır və kompüter qəfildən sönür,Avadanlıq
"Korporativ @asoiu.edu.az mailimə giriş edə bilmirəm, şifrə xətasıdır",Hesab_Problemi
"Printer kağızı sıxışdırıb, çap etmir",Avadanlıq
PDF fayllarını açmaq üçün proqram yüklənməlidir,Proqram_Təminatı
"Server otağında switch yanıb, internet yoxdur",Şəbəkə
"Korporativ @asoiu.edu.az mailimə giriş edə bilmirəm, şifrə xətasıdır",Hesab_Problemi
VPN serverə qoşula bilmirəm,Şəbəkə
Microsoft Office proqramları lisenziya xətası verir,Proqram_Təminatı
Active Directory-də hesabım silinib deyəsən,Hesab_Problemi
"Hesabımın bloku açılmalıdır, çoxlu yanlış cəhd etmişəm",Hesab_Problemi
"Lan kabeli qırılıb, şəbəkə işləmir",Şəbəkə
Active Directory-də hesabım silinib deyəsən,Hesab_Problemi
Active Directory-də hesabım silinib deyəsən,Hesab_Problemi
Microsoft Office proqramları lisenziya xətası verir,Proqram_Təminatı
PDF fayllarını açmaq üçün proqram yüklənməlidir,Proqram_Təminatı
"SSD yaddaş bloka düşüb, faylları oxumur",Avadanlıq
Active Directory-də hesabım silinib deyəsən,Hesab_Problemi
"Lan kabeli qırılıb, şəbəkə işləmir",Şəbəkə
Moodle (LMS) sistemində parolumu unutmuşam,Hesab_Problemi
PDF fayllarını açmaq üçün proqram yüklənməlidir,Proqram_Təminatı
Ana plata (Motherboard) qısaqapanma verib yandı,Avadanlıq
Active Directory-də hesabım silinib deyəsən,Hesab_Problemi
Sistemə daxil olmaq üçün təsdiq kodu telefonuma gəlmir,Hesab_Problemi
Əməliyyat sistemi (Windows) update olunarkən donub qaldı,Proqram_Təminatı
"Korpustakı Wi-Fi şəbəkəsinə qoşulmur, 'No Internet' yazılır",Şəbəkə
